movie_title,url,rating,rating_count,genre,content_rating
Justified,https://www.imdb.com/title/tt1489428/,8.6,123480,"Action, Crime, Drama",TV-MA
The Bugs Bunny Show,https://www.imdb.com/title/tt0053488/,8.6,36733,"Animation, Comedy",TV-G
What We Do in the Shadows,https://www.imdb.com/title/tt7908628/,8.6,115510,"Comedy, Fantasy, Horror",TV-MA
The Family Man,https://www.imdb.com/title/tt9544034/,8.7,102869,"Action, Comedy, Drama",TV-MA
Dragon Ball: Doragon bôru,https://www.imdb.com/title/tt0088509/,8.5,70519,"Animation, Action, Adventure",TV-14
The Haunting of Hill House,https://www.imdb.com/title/tt6763664/,8.5,304954,"Drama, Horror, Mystery",TV-MA
Justice League,https://www.imdb.com/title/tt0275137/,8.5,54048,"Animation, Action, Adventure",TV-PG
Battlestar Galactica,https://www.imdb.com/title/tt0314979/,8.5,82429,"Action, Adventure, Drama",TV-14
The Venture Bros.,https://www.imdb.com/title/tt0417373/,8.6,29192,"Animation, Action, Adventure",TV-14
Dragon Ball,https://www.imdb.com/title/tt0280249/,8.5,68514,"Animation, Action, Adventure",TV-14
Endeavour,https://www.imdb.com/title/tt2701582/,8.6,35433,"Crime, Drama, Mystery",TV-14
"Yes, Prime Minister",https://www.imdb.com/title/tt0086831/,8.6,13849,Comedy,TV-PG
Flight of the Conchords,https://www.imdb.com/title/tt0863046/,8.5,67770,"Comedy, Music, Musical",TV-MA
Samurai Chanpurû,https://www.imdb.com/title/tt0423731/,8.5,58484,"Animation, Action, Adventure",TV-MA
The Queen&apos;s Gambit,https://www.imdb.com/title/tt10048342/,8.5,599841,Drama,TV-MA
Yellowstone,https://www.imdb.com/title/tt4236770/,8.6,257724,"Drama, Western",TV-MA
The Bear,https://www.imdb.com/title/tt14452776/,8.5,261346,"Comedy, Drama",TV-MA
The IT Crowd,https://www.imdb.com/title/tt0487831/,8.5,169264,Comedy,TV-14
Coupling,https://www.imdb.com/title/tt0237123/,8.5,48905,"Comedy, Romance",TV-14
Making a Murderer,https://www.imdb.com/title/tt5189670/,8.5,105300,"Documentary, Crime",TV-14
Rocket Boys,https://www.imdb.com/title/tt13868972/,8.9,19127,"Drama, History",N/A
Ezel,https://www.imdb.com/title/tt1534360/,8.6,39717,"Crime, Drama, Thriller",TV-14
Mr. Robot,https://www.imdb.com/title/tt4158110/,8.5,435039,"Crime, Drama, Thriller",TV-MA
Senke nad Balkanom,https://www.imdb.com/title/tt6108262/,8.8,13166,"Crime, Drama, Thriller",TV-MA
I&apos;m Alan Partridge,https://www.imdb.com/title/tt0129690/,8.6,22925,Comedy,TV-MA
Samurai Jack,https://www.imdb.com/title/tt0278238/,8.5,62442,"Animation, Action, Adventure",TV-MA
Impractical Jokers,https://www.imdb.com/title/tt2100976/,8.6,48312,"Comedy, Reality-TV",TV-14
Detectorists,https://www.imdb.com/title/tt4082744/,8.6,23307,Comedy,TV-14
Jujutsu Kaisen,https://www.imdb.com/title/tt12343534/,8.5,142564,"Animation, Action, Adventure",TV-MA
Happy Valley,https://www.imdb.com/title/tt3428912/,8.5,68320,"Crime, Drama, Thriller",TV-MA
Spaced,https://www.imdb.com/title/tt0187664/,8.5,59191,Comedy,TV-14
Long Way Round,https://www.imdb.com/title/tt0403778/,8.6,16039,"Documentary, Adventure",TV-PG
Mob Psycho 100,https://www.imdb.com/title/tt5897304/,8.5,52452,"Animation, Action, Comedy",TV-14
Spartacus,https://www.imdb.com/title/tt1442449/,8.5,264088,"Action, Adventure, Biography",TV-MA
The Eric Andre Show,https://www.imdb.com/title/tt2244495/,8.5,22941,"Comedy, Talk-Show",TV-MA
Whose Line Is It Anyway?,https://www.imdb.com/title/tt0163507/,8.5,47696,"Comedy, Game-Show",TV-PG
Regular Show,https://www.imdb.com/title/tt1710308/,8.5,64096,"Animation, Action, Adventure",TV-PG
Louie,https://www.imdb.com/title/tt1492966/,8.5,83717,"Comedy, Drama",TV-MA
Sons of Anarchy,https://www.imdb.com/title/tt1124373/,8.5,335840,"Crime, Drama, Thriller",TV-MA
Derry Girls,https://www.imdb.com/title/tt7120662/,8.5,66749,Comedy,TV-MA
Twin Peaks,https://www.imdb.com/title/tt4093826/,8.5,80635,"Crime, Drama, Horror",TV-MA
The Office,https://www.imdb.com/title/tt0290978/,8.5,127092,"Comedy, Drama",TV-MA
Through the Wormhole,https://www.imdb.com/title/tt1513168/,8.6,19032,Documentary,TV-PG
Shinseiki Evangelion,https://www.imdb.com/title/tt0112159/,8.5,94028,"Animation, Action, Drama",TV-MA
Trailer Park Boys,https://www.imdb.com/title/tt0290988/,8.5,53533,"Comedy, Crime",TV-MA
Spartacus: Gods of the Arena,https://www.imdb.com/title/tt1758429/,8.5,149040,"Action, Adventure, Biography",TV-MA
Formula 1: Drive to Survive,https://www.imdb.com/title/tt8289930/,8.5,54203,"Documentary, Sport",TV-MA
Schitt$ Creek,https://www.imdb.com/title/tt3526078/,8.5,157052,Comedy,TV-14
Brass Eye,https://www.imdb.com/title/tt0118273/,8.6,12142,Comedy,TV-MA
Skam,https://www.imdb.com/title/tt5288312/,8.6,40480,"Drama, Romance",Not Rated
Silicon Valley,https://www.imdb.com/title/tt2575988/,8.5,172070,Comedy,TV-MA
Hwan Hon,https://www.imdb.com/title/tt20859920/,8.7,21515,"Action, Drama, Fantasy",TV-14
